Resource,PrimaryLink,PublicationCategory,PaperEvidence,Dataset,Code,PretrainedModels,DemoOrApp,FixedSplits,LicenseOrProvenance,LedgerRecordIDs,AvailabilitySummary,LastVerified,ReproductionScope,RecommendedUse,Caveat
RadioMapSeer,https://radiomapseer.github.io/,Published benchmark,Publisher/project linkage,Yes,Linked via RadioUNet/related code,No public checkpoint observed,No,Partial,DOI/project provenance; license requires confirmation,RMSEER-DATA,unclear-license,2026-07-18,2D pathloss maps,2D pathloss and ToA benchmark,Do not compare with 3D or CKM metrics without protocol alignment.
RadioUNet,https://github.com/RonLevie/RadioUNet,Published code line,Paper and repository linkage,External dataset,Yes,No public checkpoint observed,No,Partial,Repository license not recorded,RUNET-CODE,unclear-license,2026-07-18,2D reconstruction notebooks,RadioMapSeer-style baseline reproduction,Dataset and model lineage should be cited separately.
DeepMIMO,https://github.com/DeepMIMO/DeepMIMO,Foundation toolchain,Paper and repository linkage,Generated scenarios,Yes,N/A,Partial,Yes,Versioned toolchain; license requires record check,DMIMO-TOOL,unclear-license,2026-07-18,Configurable ray-traced channel data,Ray-tracing channel-data generation,It is a reusable platform and not one fixed benchmark.
DeepREM,https://zenodo.org/records/7839447,Published resource,Paper and persistent record,Yes,Partial,Yes,Yes,Partial,Canonical record requires license confirmation,DREM-DATA;DREM-MODEL;DREM-DEMO,unclear-license,2026-07-18,Sparse REM data baseline inference and demo,Sparse REM reconstruction,Model and demo statements remain bound to the archived record.
SpectrumNet / FDRadiomap,https://github.com/ShuhangZhang/FDRadiomap,Published dataset line,Paper and repository linkage,Yes,No executable baseline observed,No,No,Partial,Repository license not recorded,SNET-DATA;SNET-CODE,mixed: unclear-license/unavailable,2026-07-18,Multiband and 3D maps,Multiband and altitude-aware radio maps,Treat as dataset-first until code and checkpoints are verified.
UrbanRadio3D,https://github.com/UNIC-Lab/UrbanRadio3D,Published 3D benchmark,Paper and repository linkage,Yes,Linked to RadioDiff family,Request-based RadioDiff weights,No,Yes,MIT dataset release,UR3D-DATA;UR3D-SPLIT;RDIFF-CODE;RDIFF-MODEL,mixed: open/restricted/unclear-license,2026-07-18,Volumetric maps splits training and checkpoint-assisted inference,3D urban coverage and RadioDiff-3D benchmarking,Simulator evidence does not establish real low-altitude transfer.
RadioMapMotion,https://github.com/UNIC-Lab/RadioMapMotion,Published dynamic benchmark,Paper and repository linkage,Yes,Yes,No public checkpoint observed,No,Yes,Repository license not recorded,RMM-DATA;RMM-CODE;RMM-PROTO,unclear-license,2026-07-18,Dynamic map forecasting with documented split and horizon,Future radio-map prediction,Report forecast horizon and temporal split.
3DiRM3200 / R2Net,https://github.com/lighttime2023/3DiRM3200,Published 3D indoor benchmark,Paper and repository linkage,Yes,Yes,Partial,No,Partial,Repository license not recorded,R2NET-DATA;R2NET-CODE;R2NET-MODEL,mixed: unclear-license/restricted,2026-07-18,Indoor 3D RME experiments and partial inference,Height-aware indoor 3D RME,Indoor evidence requires separate outdoor validation.
CKMImageNet,https://github.com/zyktzCKM/CKMImageNet,Published CKM dataset line,Paper and repository linkage,Yes,No code observed,No,No,Partial,Repository license not recorded,CKMI-DATA;CKMI-CODE,mixed: unclear-license/unavailable,2026-07-18,Gain delay AOA and AOD maps,Channel descriptor CKM tasks,Scalar radio-map metrics do not align with all CKM targets.
Grid-Free Radio Map Estimation,https://github.com/XNChenSRIBD/Grid-Free-Radio-Map-Estimation,Published code line,Paper and repository linkage,Yes,Yes,N/A,No,Unconfirmed,Repository license not recorded,GFRME-DATA;GFRME-CODE,unclear-license,2026-07-18,Continuous field estimation data and scripts,Grid-free radio-map estimation,Pin a commit and confirm reuse permission before release bundling.
RMDirectionalBerlin,https://zenodo.org/records/13834313,Preprint/resource-first,Preprint and persistent record,Yes,Linked,No,No,Partial,Canonical record requires license confirmation,RMDIR-DATA,unclear-license,2026-07-18,Directional radio maps,Directional urban radio-map exploration,Journal linkage is not confirmed.
MobiSim RadioMap,https://huggingface.co/datasets/MobiSim/MobiSim,Resource-first,Anonymous submission linkage,Yes,No code observed,No,No,Partial,MIT dataset card,MOBI-DATA,open,2026-07-18,RSRP and SINR maps,Simulated city-scale maps,Peer-reviewed publication linkage is pending.
Multi-config Radiomap Dataset,https://huggingface.co/datasets/lxj321/Multi-config-Radiomap-Dataset,Preprint/resource-first,Preprint and dataset-card linkage,Yes,Yes,Yes,Partial,Yes,MIT data; code and model terms require confirmation,MCONF-DATA;MCONF-CODE;MCONF-MODEL,mixed: open/unclear-license,2026-07-18,Multiband beam-map data training and inference,Multi-configuration radiomap experiments,Final publication metadata and artifact licenses require confirmation.
Real-world CKM-Dataset,https://github.com/ycw671/CKM-Dataset,Resource-first partial release,Preprint/repository linkage,Partial,No code observed,No,No,Partial,Partial release with no recorded license,RCKM-DATA,restricted,2026-07-18,CIR PDP RSS and point clouds,Real-world CKM feasibility,Do not treat a partial release as a complete benchmark.
Environment_Aware_Communications,https://github.com/xuxiaoli-seu/Environment_Aware_Communications,Tutorial-lineage code,Tutorial/repository linkage,Partial,Yes,No,Partial,Partial,Repository license not recorded,EAC-CODE,unclear-license,2026-07-18,CKM MATLAB and Python examples,CKM tutorial examples,Not packaged as one benchmark.
Channel-Knowledge-Map-,https://github.com/xuxiaoli-seu/Channel-Knowledge-Map-,CKM simulation code,Weak publication linkage,No,Partial,No,No,No,Repository license not recorded,CKMSIM-CODE,unclear-license,2026-07-18,Channel-parameter simulation scripts,CKM simulation examples,Publication linkage and documentation remain limited.
Awesome-Radio-Map-Categorized,https://github.com/UNIC-Lab/Awesome-Radio-Map-Categorized,Community index,Community discovery index,N/A,N/A,N/A,N/A,N/A,Repository license not recorded,INDEX-PAPER,unclear-license,2026-07-18,Paper and code discovery,Discovery only,It is not a reproduction package for one result.
RadioLAM,https://github.com/liuzhiyuan-pku/RadioLAM,Published IEEE JSAC code resource,Paper and repository linkage,External SpectrumNet dependency,Yes,No public checkpoint bundle observed,No,Partial,Repository status requires ledger integration,not-ledgered,restricted pending checkpoint provenance,2026-07-18,Low-altitude 3D construction scripts,Low-altitude 3D map construction,Dataset version preprocessing and checkpoint provenance remain unresolved.
REM-Net+,https://doi.org/10.1109/TVT.2025.3623917,Published IEEE TVT result card,Publisher DOI,External RadioMap3DSeer benchmark,No public code verified,No,No,Unverified,Publisher provenance,not-ledgered,unavailable,2026-07-18,Protocol-bound published result,Physics-guided 3D REM comparison,Do not present as an open reproduction line.
High-Efficiency Urban 3D GPR Measurement Study,https://doi.org/10.1109/TVT.2025.3573595,Published IEEE TVT measurement study,Publisher DOI,No public dataset verified,No public code verified,N/A,No,Unverified,Publisher provenance,not-ledgered,unavailable,2026-07-18,Measured UAV result card,Real low-altitude measurement evidence,Open benchmark status requires data and reconstruction code.
